pangene	baseMean	log2FoldChange	lfcSE	pvalue	padj	Pangenome Class	COG	Description	Enzyme Class	KEGG Orthology	KEGG Pathway	KEGG Reaction	Resistance Product	Resistance	Metabolism
cluster_10036	896.9773833199569	-2.86490036108734	0.846127849386356	1.0863177842552192e-5	4.509564309085551e-5	dispensable	M	the rest of the oligosaccharide is released intact. Cleaves the peptidoglycan connecting the daughter cells at the end of the cell division cycle, resulting in the separation of the two newly divided cells. Acts as an autolysin in penicillin-induced lysis (By similarity)	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[3.2.1.96]; N-acetylmuramoyl-L-alanine amidase[3.5.1.28]	mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase[K01227]; N-acetylmuramoyl-L-alanine amidase[K01447]; bifunctional autolysin[K13714]	Other glycan degradation[map00511]	N-Acetylmuramoyl-Ala + H2O <=> N-Acetylmuramate + L-Alanine[R04112]	-	-	-
cluster_1004	1159.7375010900464	1.6931080539919703	0.258385286386079	1.7535505872535586e-11	1.4206883129301096e-10	dispensable	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	[Methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase[2.1.1.246]; Uroporphyrinogen decarboxylase[4.1.1.37]	uroporphyrinogen decarboxylase[K01599]; [methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase[K14080]	Methane metabolism[map00680]; Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]	Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2[R03197]; Uroporphyrinogen I <=> Coproporphyrinogen I + 4 CO2[R04972]; Methanol + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + H2O[R09098]; Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein[R10000]	-	-	-
cluster_1005	60.780734848346455	-0.3897286487963403	0.6678895186985688	0.4776675346831689	0.5748801149030311	dispensable	-	-	-	-	-	-	-	-	-
cluster_10050	32.98591969853313	-1.2467126554070291	0.47306688143695735	0.0039489648509641075	0.00988483025587242	dispensable	E	allophanate hydrolase subunit 1	Allophanate hydrolase[3.5.1.54]	allophanate hydrolase[K01457]; inhibitor of KinA[K06351]; 5-oxoprolinase (ATP-hydrolysing) subunit A[K07160]	Arginine biosynthesis[map00220]; Atrazine degradation[map00791]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]	Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia[R00005]	-	-	-
cluster_10055	117.64157182170489	0.9877269141976468	0.9251501056447123	0.12995781645620905	0.1997063835287515	dispensable	S	membrane transporter protein	-	uncharacterized protein[K07090]	-	-	-	-	-
cluster_1006	107.93340614704596	1.0813393853382511	0.538715310120276	0.023300945645949884	0.045515466832334005	dispensable	S	Cobalamin synthesis protein cobW C-terminal domain	-	-	-	-	-	-	-
cluster_1007	67.45538342898908	-0.4783394053521714	0.48857722245145746	0.26953614264766335	0.3656595987175799	dispensable	-	-	-	-	-	-	-	-	-
cluster_1008	1355.246817055752	0.4025526786293713	0.19555406158278787	0.030083483403301522	0.05631147040335805	dispensable	I	acid phosphatase family protein	Phosphatidylglycerophosphatase[3.1.3.27]; Phosphatidate phosphatase[3.1.3.4]; Diacylglycerol diphosphate phosphatase[3.1.3.81]; Undecaprenyl-diphosphate phosphatase[3.6.1.27]	phosphatidylglycerophosphatase B[K01096]; undecaprenyl-diphosphatase[K19302]	Peptidoglycan biosynthesis[map00550]; Glycerophospholipid metabolism[map00564]; Metabolic pathways[map01100]	Phosphatidylglycerophosphate + H2O <=> Phosphatidylglycerol + Orthophosphate[R02029]; di-trans,poly-cis-Undecaprenyl diphosphate + H2O <=> di-trans,poly-cis-Undecaprenyl phosphate + Orthophosphate[R05627]	-	-	-
cluster_1009	147.58290681252214	-0.7341358879358353	0.4137059632224016	0.05282317724218976	0.09170610487411789	dispensable	-	-	-	-	-	-	-	-	-
cluster_10091	245.65554423709108	0.25579189652238904	0.36041412150372165	0.4373160567204773	0.5361127708506899	dispensable	S	Peptidase, M16	-	zinc protease[K07263]	-	-	-	-	-
cluster_10094	24.29163449719322	-1.2718708343228062	0.7550022662833273	0.033855724678173924	0.06231018923428079	dispensable	H	Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)	Cyclic pyranopterin monophosphate synthase[4.6.1.17]	cyclic pyranopterin monophosphate synthase[K03637]	Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Sulfur relay system[map04122]	(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <=> Precursor Z + Diphosphate[R11372]	-	-	-
cluster_101	857.4430801203054	-0.3071033341954092	0.2471522184030262	0.17729001712878495	0.2588222900220318	core	K	Necessary for efficient RNA polymerase transcription elongation past template-encoded arresting sites. The arresting sites in DNA have the property of trapping a certain fraction of elongating RNA polymerases that pass through, resulting in locked ternary complexes. Cleavage of the nascent transcript by cleavage factors such as GreA or GreB allows the resumption of elongation from the new 3'terminus. GreA releases sequences of 2 to 3 nucleotides	-	transcription elongation factor GreA[K03624]	-	-	-	-	-
cluster_1010	404.22677474792226	0.6179641821382643	0.4561665756183675	0.1316430733252309	0.20147779400338808	dispensable	F	deoxynucleoside kinase	Deoxyguanosine kinase[2.7.1.113]; Deoxycytidine kinase[2.7.1.74]; Deoxyadenosine kinase[2.7.1.76]	deoxyguanosine kinase[K15518]; deoxyadenosine/deoxycytidine kinase[K15519]	Purine metabolism[map00230]; Pyrimidine metabolism[map00240]; Metabolic pathways[map01100]	ATP + Adenosine <=> ADP + AMP[R00185]; ATP + Deoxycytidine <=> ADP + dCMP[R01666]; ATP + Deoxyguanosine <=> ADP + dGMP[R01967]; ATP + Deoxyadenosine <=> ADP + dAMP[R02089]	-	-	-
cluster_10102	336.493252882997	11.987509164649738	1.609486822889752	2.0689758753476686e-14	2.303363352135307e-13	dispensable	E	Reversibly catalyzes the transfer of the carbamoyl group from carbamoyl phosphate (CP) to the N(epsilon) atom of ornithine (ORN) to produce L-citrulline	Ornithine carbamoyltransferase[2.1.3.3]	ornithine carbamoyltransferase[K00611]	Arginine biosynthesis[map00220]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230]	Carbamoyl phosphate + L-Ornithine <=> Orthophosphate + L-Citrulline[R01398]	-	-	-
cluster_10109	558.1096826441978	0.125584763493682	0.35341601815311385	0.6985950073113572	0.7620166164026588	dispensable	P	Sodium/hydrogen exchanger family	-	monovalent cation:H+ antiporter, CPA1 family[K03316]	-	-	-	-	-
cluster_1011	2007.4103987807282	-1.1300644838635765	0.5419797253240596	0.018445781940662834	0.03751153879420796	dispensable	E	Cleaves the N-terminal amino acid of tripeptides	Cytosol alanyl aminopeptidase[3.4.11.14]; Tripeptide aminopeptidase[3.4.11.4]	tripeptide aminopeptidase[K01258]	-	-	-	-	-
cluster_1012	321.78474339027474	-0.11202329914404921	0.6694062068257837	0.8383930288618888	0.8807137591211659	dispensable	M	Pectate lyase superfamily protein	-	plasmin and fibronectin-binding protein A[K13925]	Bacterial invasion of epithelial cells[map05100]	-	-	-	-
cluster_10123	3597.7835057751213	1.1536007918240136	0.51967922065207794	0.01305659910294845	0.027994755248342	dispensable	K	Negative regulator of class I heat shock genes (grpE- dnaK-dnaJ and groELS operons). Prevents heat-shock induction of these operons	-	heat-inducible transcriptional repressor[K03705]	-	-	-	-	-
cluster_10128	438.7498010068873	2.875286903530778	0.47783963597226214	1.763125774827667e-11	1.424820423109465e-10	dispensable	P	Acts as a magnesium transporter	-	magnesium transporter[K06213]	-	-	-	-	-
cluster_1013	839.8664224827538	-0.039445447933033645	0.217391471688705	0.844717486135092	0.885021545197148	dispensable	J	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	Methionyl-tRNA formyltransferase[2.1.2.9]	methionyl-tRNA formyltransferase[K00604]	One carbon pool by folate[map00670]; Aminoacyl-tRNA biosynthesis[map00970]	L-Methionyl-tRNA + 10-Formyltetrahydrofolate <=> Tetrahydrofolate + N-Formylmethionyl-tRNA[R03940]	-	-	-
cluster_1014	476.4101945805908	3.5657212920811183	0.3464964158134464	1.02303690542049e-27	4.861715681878866e-26	dispensable	C	cytochrome D ubiquinol oxidase subunit II	Ubiquinol oxidase (electrogenic, proton-motive force generating)[1.10.3.14]	cytochrome bd ubiquinol oxidase subunit II[K00426]	Oxidative phosphorylation[map00190]; Metabolic pathways[map01100]; Two-component system[map02020]	2 Ubiquinol + Oxygen + 4 H+ <=> 2 Ubiquinone + 2 H2O + 4 H+[R11325]	-	-	-
cluster_10143	77.10206383693647	10.187973193997546	1.3010507806144636	1.6640532555582415e-15	2.1278496247780887e-14	dispensable	M	Peptidoglycan hydrolase involved in the splitting of the septum during cell division	N-acetylmuramoyl-L-alanine amidase[3.5.1.28]	peptidoglycan DL-endopeptidase CwlS[K19220]; peptidoglycan DL-endopeptidase LytF[K19223]; peptidoglycan DL-endopeptidase LytE[K19224]; N-acetylmuramoyl-L-alanine amidase[K22409]	-	-	-	-	-
cluster_1015	6054.491219356369	0.5626058985155739	0.32743394581953195	0.06471423703730253	0.10879098771212843	dispensable	C	Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex	-	F-type H+-transporting ATPase subunit gamma[K02115]	Oxidative phosphorylation[map00190]; Photosynthesis[map00195]; Metabolic pathways[map01100]	-	-	-	-
cluster_1016	4500.809238952882	0.39532512799036856	0.24179528181387433	0.07950159647679575	0.13021249134882595	dispensable	J	translation initiation inhibitor, yjgF family	2-iminobutanoate/2-iminopropanoate deaminase[3.5.99.10]	2-iminobutanoate/2-iminopropanoate deaminase[K09022]	-	2-Iminobutanoate + H2O <=> 2-Oxobutanoate + Ammonia[R11098]; 2-Iminopropanoate + H2O <=> Pyruvate + Ammonia[R11099]	-	-	-
cluster_10160	27.331694717362296	-3.414452054969859	1.7726538291270852	0.0011652587728008866	0.0033455220311974956	dispensable	L	helicase	-	-	-	-	-	-	-
cluster_1017	11422.485148625785	1.3894688770939208	0.27998205063722736	3.214247242192083e-7	1.6296438247037565e-6	dispensable	E	Belongs to the cysteine synthase cystathionine beta- synthase family	Cysteine synthase[2.5.1.47]	cysteine synthase[K01738]	Cysteine and methionine metabolism[map00270]; Sulfur metabolism[map00920]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230]	O-Acetyl-L-serine + Hydrogen sulfide <=> L-Cysteine + Acetate[R00897]; O-Acetyl-L-serine + Hydrogen selenide <=> L-Selenocysteine + Acetate[R03601]; O-Acetyl-L-serine + Thiosulfate + Thioredoxin + H+ <=> L-Cysteine + Sulfite + Thioredoxin disulfide + Acetate[R04859]	-	-	-
cluster_1018	25.428983332404954	1.4030388894576313	0.993845372863703	0.04020268133779982	0.072115683030735	dispensable	L	DNA uptake protein and related DNA-binding	-	competence protein ComEA[K02237]	-	-	-	-	-
cluster_10182	25.19888937470168	8.419302902349276	1.6373342122748085	8.569326300387499e-8	4.685601570983296e-7	dispensable	S	Hydrolase	-	putative hydrolase of the HAD superfamily[K07025]	-	-	-	-	-
cluster_10184	479.51456515786487	0.7331101349881588	0.1944780203496167	1.314337473386453e-4	4.4901829562902e-4	dispensable	U	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY	Signal-recognition-particle GTPase[3.6.5.4]	signal recognition particle subunit SRP54[K03106]	Quorum sensing[map02024]; Protein export[map03060]; Bacterial secretion system[map03070]	-	-	-	-
cluster_1019	83.04269427993795	-0.15076411568891998	0.6663118945314439	0.7831015747370704	0.8336327027625651	dispensable	-	-	-	-	-	-	-	-	-
cluster_102	2308.1104077443674	0.47965531303192144	0.20966413479712923	0.017041762226810957	0.034961965805519385	core	J	Belongs to the universal ribosomal protein uS9 family	-	small subunit ribosomal protein S9[K02996]	Ribosome[map03010]	-	-	-	-
cluster_1020	172.6536508395238	-2.112819052485959	0.38712639113503305	5.995560422580516e-9	3.7578473199796e-8	dispensable	K	helix_turn _helix lactose operon repressor	-	LacI family transcriptional regulator, kdg operon repressor[K02525]; LacI family transcriptional regulator[K02529]; LacI family transcriptional regulator, sucrose operon repressor[K03484]	-	-	-	-	-
cluster_1021	2753.945981279816	-0.7458945867675562	0.2471648783863554	0.0019276514849355592	0.005235852202021684	dispensable	D	modulates the frequency and position of FtsZ ring formation. Inhibits FtsZ ring formation at polar sites. Interacts either with FtsZ or with one of its binding partners to promote depolymerization	-	septation ring formation regulator[K06286]; uncharacterized protein[K07158]	-	-	-	-	-
cluster_10212	247.06907728897843	-1.1096946087612876	0.46269009451790766	0.008770687495596194	0.019904396996420725	dispensable	E	Catalyzes the reversible interconversion of serine and glycine with tetrahydrofolate (THF) serving as the one-carbon carrier. This reaction serves as the major source of one-carbon groups required for the biosynthesis of purines, thymidylate, methionine, and other important biomolecules. Also exhibits THF- independent aldolase activity toward beta-hydroxyamino acids, producing glycine and aldehydes, via a retro-aldol mechanism	Glycine hydroxymethyltransferase[2.1.2.1]	glycine hydroxymethyltransferase[K00600]	Glycine, serine and threonine metabolism[map00260]; Cyanoamino acid metabolism[map00460]; Glyoxylate and dicarboxylate metabolism[map00630]; One carbon pool by folate[map00670]; Methane metabolism[map00680]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230]	5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine[R00945]; L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O[R09099]	-	-	-
cluster_1022	3366.141878817856	0.36235973759491263	0.1514922589956918	0.012922722382535091	0.027763797615379032	dispensable	J	Belongs to the class-II aminoacyl-tRNA synthetase family	Glycine--tRNA ligase[6.1.1.14]	glycyl-tRNA synthetase[K01880]	Aminoacyl-tRNA biosynthesis[map00970]	ATP + Glycine + tRNA(Gly) <=> AMP + Diphosphate + Glycyl-tRNA(Gly)[R03654]	-	-	-
cluster_10225	2457.953749518305	1.0596946674366425	0.601462657966003	0.04019931764421273	0.072115683030735	dispensable	-	-	-	-	-	-	-	-	-
cluster_1023	96.34996760796346	2.1409678094958027	0.4505100119421878	2.2079566058642698e-7	1.1505947353636392e-6	dispensable	O	Belongs to the sulfur carrier protein TusA family	-	uncharacterized protein[K07112]	-	-	-	-	-
cluster_10230	71.6102750966742	-0.8354066468112747	0.9451809723608006	0.19993009423942687	0.2862308543427766	dispensable	-	-	-	-	-	-	-	-	-
cluster_1024	11799.243869808975	0.6496517339969508	0.18692846416680223	4.213828128241619e-4	0.0013166662178921802	dispensable	O	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	-	cell division protease FtsH[K03798]	-	-	-	-	-
cluster_1025	262.7278547067529	-0.2635944453003463	0.46884624427115446	0.5286175244620642	0.621245211657407	dispensable	-	-	-	-	-	-	-	-	-
cluster_1026	533.2338856405815	0.23383555180783264	0.19033251639273022	0.1785744270963493	0.26057789911767926	dispensable	CH	FAD binding domain	Aurachin C monooxygenase/isomerase[1.14.13.222]	aurachin C monooxygenase/isomerase[K21272]	-	-	-	-	-
cluster_10263	384.99311965785915	1.4529597663402467	0.5030799170812339	0.0014220208142244695	0.004013931092633608	dispensable	J	Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome	-	elongation factor G[K02355]	-	-	-	-	-
cluster_10267	2590.8241262783904	2.597218986160726	0.27657937262652643	1.6929892068980764e-22	5.151550606777285e-21	dispensable	D	Could be involved in septation	-	stage V sporulation protein G[K06412]	-	-	-	-	-
cluster_1027	271.53841125568573	-0.34940147567492297	0.3638376900970085	0.29268561143507343	0.3900841301001565	dispensable	I	first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA	Dihydrolipoyllysine-residue acetyltransferase[2.3.1.12]; Oxaloacetate decarboxylase[4.1.1.3]	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)[K00627]; oxaloacetate decarboxylase (Na+ extruding) subunit alpha[K01571]; acetyl-CoA carboxylase biotin carboxyl carrier protein[K02160]	Glycolysis / Gluconeogenesis[map00010]; Citrate cycle (TCA cycle)[map00020]; Fatty acid biosynthesis[map00061]; Pyruvate metabolism[map00620]; Propanoate metabolism[map00640]; Carbon fixation pathways in prokaryotes[map00720]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Fatty acid metabolism[map01212]	Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+[R00209]; Oxaloacetate <=> Pyruvate + CO2[R00217]; ATP + Acetyl-CoA + HCO3- <=> ADP + Orthophosphate + Malonyl-CoA[R00742]; Acetyl-CoA + Enzyme N6-(dihydrolipoyl)lysine <=> CoA + [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[R02569]	-	-	-
cluster_10270	104.41075562231867	10.017383030786299	1.5891472192322544	9.876841546663577e-11	7.452100351795457e-10	dispensable	-	-	-	-	-	-	-	-	-
cluster_10273	212.69972213756017	11.40127662090591	1.3723722462658143	2.5317344438095938e-17	4.265101835497221e-16	dispensable	-	-	-	-	-	-	-	-	-
cluster_1028	3459.150910366096	-5.226362647539694	0.3252696697583161	1.3508111781600089e-58	7.168304652102446e-56	dispensable	K	Probably functions as a transcriptional regulator via a specific DNA-binding domain, recognizing motifs near the promoter sequences of target genes	-	two-component system, OmpR family, response regulator SaeR[K10682]	Two-component system[map02020]	-	-	-	-
cluster_1029	8606.189052800708	1.7057414317064403	0.3180316238055453	2.4104189408032386e-8	1.4291943961857563e-7	dispensable	S	membrane	-	-	-	-	-	-	-
cluster_103	11403.5558400669	-1.5130502874263227	0.35449926493045003	7.550405793691598e-6	3.205398939615206e-5	core	M	Is able to cleave peptidoglycan	-	resuscitation-promoting factor RpfA[K21687]	-	-	-	-	-
cluster_1030	1152.0297420328477	3.5791469401181235	0.7193275490998633	2.2907865692256245e-9	1.522727439752482e-8	dispensable	S	antibacterial protein	-	phenol-soluble modulin beta[K20337]	Quorum sensing[map02024]	-	-	-	-
cluster_10302	195.27864687279612	-0.4089640622159151	0.4016930220106709	0.26153505093895446	0.35754727444810264	dispensable	M	COG3764 Sortase (surface protein transpeptidase)	Sortase A[3.4.22.70]	sortase A[K07284]	-	-	-	-	-
cluster_1031	536.398097232428	-0.6606492261545335	0.6217146635745503	0.20749054066805175	0.29453851158585675	dispensable	E	Cysteine desulfurase	Cysteine desulfurase[2.8.1.7]	cysteine desulfurase[K04487]	Thiamine metabolism[map00730]; Metabolic pathways[map01100]; Sulfur relay system[map04122]	[Enzyme]-cysteine + L-Cysteine <=> [Enzyme]-S-sulfanylcysteine + L-Alanine[R07460]; L-Cysteine + [Protein]-L-cysteine <=> L-Alanine + [Protein]-S-sulfanyl-L-cysteine[R11528]; [Enzyme]-S-sulfanylcysteine + [Protein]-L-cysteine <=> [Enzyme]-cysteine + [Protein]-S-sulfanyl-L-cysteine[R11529]	-	-	-
cluster_1032	1619.0891688725987	-2.7726670388911088	0.6031447017057752	6.65843867769077e-8	3.7128666812202126e-7	dispensable	O	serine protease	Peptidase Do[3.4.21.107]	serine protease DegS[K04691]; serine protease Do[K04771]	Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]	-	-	-	-
cluster_1033	7122.516414194144	0.08956306076027098	0.2641289118908429	0.714127403606037	0.7741442585775932	dispensable	E	Involved in the biosynthesis of the osmoprotectant glycine betaine. Catalyzes the oxidation of choline to betaine aldehyde and betaine aldehyde to glycine betaine at the same rate	Choline dehydrogenase[1.1.99.1]	choline dehydrogenase[K00108]	Glycine, serine and threonine metabolism[map00260]; Metabolic pathways[map01100]	Choline + Acceptor <=> Betaine aldehyde + Reduced acceptor[R01025]	-	-	-
cluster_1034	144.17017005452877	1.624890511450427	1.039570127656679	0.021054295146512962	0.041845740166352854	dispensable	P	Part of the ABC transporter complex PhnCDE involved in phosphonates import. Responsible for energy coupling to the transport system	ABC-type phosphonate transporter[3.6.3.28]	phosphonate transport system ATP-binding protein[K02041]	ABC transporters[map02010]	-	-	-	-
cluster_1035	501.31455769563615	1.4207157607243033	0.5979082406604909	0.0061057579131422466	0.014518844806157515	dispensable	P	NMT1/THI5 like	-	NitT/TauT family transport system substrate-binding protein[K02051]; putative hydroxymethylpyrimidine transport system substrate-binding protein[K15598]	ABC transporters[map02010]	-	-	-	-
cluster_10355	551.7211226445611	1.2813891691534567	0.5198726651645709	0.005992578388102987	0.014303125627975945	dispensable	-	-	-	-	-	-	-	-	-
cluster_10359	48.249878847531484	1.5709615810177935	0.702850362840767	0.006517406590158439	0.015405658933232718	dispensable	-	-	-	-	-	-	-	-	-
cluster_1036	832.8236486968382	-1.8503924694488667	0.259729777659855	2.4878545512173084e-13	2.4909839280112923e-12	dispensable	S	UPF0344 protein	-	-	-	-	-	-	-
