"Virus name"; "Genome length"; "Genome type"; "Genome segments"; "Taxonomy ID"; "RefSeq ID"; "Updated"
Shigella phage SHFML-11, complete genome;170650;linear DNA;1;1863008;NC_030953;2023-01-09
Shigella phage SHFML-26, complete genome;168993;linear DNA;1;1863009;NC_031011;2023-01-09
Escherichia phage UFV-AREG1, complete genome;167231;linear DNA;1;1837867;NC_031030;2023-01-09
Escherichia phage HY03, complete genome;170770;linear DNA;1;1654926;NC_031047;2023-01-08
Shigella phage SHBML-50-1, complete genome;166634;linear DNA;1;1863007;NC_031085;2023-01-09
Escherichia phage vB_EcoM-UFV13, complete genome;165772;linear DNA;1;1815590;NC_031103;2023-01-09
Shigella phage Sf22, complete genome;166283;linear DNA;1;2024320;NC_042039;2023-01-10
Shigella phage Sf21, complete genome;166002;linear DNA;1;2024308;NC_042077;2023-01-10
Shigella phage Sf24, complete genome;168112;linear DNA;1;2024309;NC_042078;2023-01-10
Escherichia phage slur03, complete genome;167467;linear DNA;1;1720496;NC_042129;2023-01-08
Escherichia phage slur04, complete genome;167298;linear DNA;1;1720497;NC_042130;2023-01-08
Citrobacter phage vB_CroM_CrRp10, complete genome;168403;linear DNA;1;2079276;NC_054899;2023-01-10
Citrobacter phage PhiZZ6, complete genome;165795;circular DNA;1;2716728;NC_054900;2023-01-11
Citrobacter phage PhiZZ23, complete genome;167516;circular DNA;1;2716727;NC_054901;2023-01-11
Enterobacteria phage Aplg8, complete genome;168496;linear DNA;1;1651202;NC_054902;2023-01-08
Enterobacteria phage GiZh, complete genome;166514;linear DNA;1;1651199;NC_054903;2023-01-08
Enterobacteria phage vB_EcoM_IME340, complete genome;165549;circular DNA;1;2163890;NC_054904;2023-01-10
Enterobacteria phage Kha5h, complete genome;167318;linear DNA;1;1651198;NC_054905;2023-01-08
Enterobacteria phage RB18, complete genome;166677;linear DNA;1;10692;NC_054906;2023-01-07
Enterobacteria phage T6, complete genome;168697;linear DNA;1;10666;NC_054907;2023-01-07
Escherichia phage vB_EcoM_DalCa, complete genome;166040;linear DNA;1;2420240;NC_054908;2023-01-10
Escherichia phage EC121, complete genome;168805;linear DNA;1;2025815;NC_054909;2023-01-10
Escherichia phage EcNP1, complete genome;166176;linear DNA;1;2576882;NC_054910;2023-01-10
Escherichia phage ECO4, complete genome;168638;linear DNA;1;2025816;NC_054911;2023-01-10
Escherichia phage vB_EcoM_F1, complete genome;168410;linear DNA;1;2750846;NC_054912;2023-01-11
Escherichia phage F2, complete genome;168241;linear DNA;1;2696339;NC_054913;2023-01-11
Escherichia phage vB_EcoM-fFiEco06, complete genome;167076;linear DNA;1;2079315;NC_054914;2023-01-10
Escherichia phage vB_EcoM_G8, complete genome;169650;linear DNA;1;2508179;NC_054915;2023-01-10
Escherichia phage vB_EcoM-G28, complete genome;170121;linear DNA;1;2081604;NC_054916;2023-01-10
Escherichia phage vB_EcoM_G50, complete genome;167728;linear DNA;1;2502303;NC_054917;2023-01-10
Escherichia phage vB_EcoM_G4498, complete genome;167826;linear DNA;1;2502301;NC_054918;2023-01-10
Escherichia phage vB_EcoM_G4507, complete genome;168828;linear DNA;1;2502306;NC_054919;2023-01-10
Escherichia phage vB_EcoM_G9062, complete genome;168670;linear DNA;1;2508181;NC_054920;2023-01-10
Escherichia phage vB_EcoM_IME537, complete genome;168642;linear DNA;1;2724310;NC_054921;2023-01-11
Escherichia phage vB_EcoM_KAW1E185, complete genome;164987;linear DNA;1;2508180;NC_054922;2023-01-10
Escherichia phage KIT03, complete genome;166848;linear DNA;1;2218499;NC_054923;2023-01-10
Escherichia phage vB_EcoM_Lutter, complete genome;170054;linear DNA;1;2750850;NC_054924;2023-01-11
Escherichia phage vB_EcoM_NBG2, complete genome;166083;linear DNA;1;2184699;NC_054925;2023-01-10
Escherichia phage vB_EcoM_OE5505, complete genome;168756;linear DNA;1;2508177;NC_054926;2023-01-10
Escherichia phage vB_EcoM_Ozark, complete genome;167600;linear DNA;1;2750851;NC_054927;2023-01-11
Escherichia phage vB_vPM_PD112, complete genome;168084;circular DNA;1;2315580;NC_054928;2023-01-10
Escherichia phage PE37, complete genome;166423;linear DNA;1;1837875;NC_054929;2023-01-09
Escherichia phage PP01, complete genome;167812;linear DNA;1;2060720;NC_054930;2023-01-10
Escherichia phage T2, complete genome;163825;linear DNA;1;2060721;NC_054931;2023-01-10
Escherichia phage teqdroes, complete genome;166833;linear DNA;1;2697536;NC_054932;2023-01-11
Escherichia phage teqhad, complete genome;167892;linear DNA;1;2697537;NC_054933;2023-01-11
Escherichia phage teqskov, complete genome;165017;linear DNA;1;2697539;NC_054934;2023-01-11
Escherichia phage YUEEL01, complete genome;168266;circular DNA;1;1932889;NC_054935;2023-01-09
Salmonella phage SG1, complete genome;169805;linear DNA;1;2025823;NC_054936;2023-01-10
Salmonella phage pSe_SNUABM_01, complete genome;172360;linear DNA;1;2656520;NC_054937;2023-01-10
Serratia phage PhiZZ30, complete genome;167484;circular DNA;1;2716729;NC_054938;2023-01-11
Shigella phage CM8, complete genome;167247;linear DNA;1;2591056;NC_054939;2023-01-10
Shigella phage JK45, complete genome;170740;linear DNA;1;2591063;NC_054940;2023-01-10
Shigella phage Sf23, complete genome;167678;linear DNA;1;2024321;NC_054941;2023-01-10
Shigella phage SH7, complete genome;164870;linear DNA;1;1913049;NC_054942;2023-01-09
Yersinia phage fPS-2, complete genome;169060;linear DNA;1;2052930;NC_054943;2023-01-10
Yersinia phage PYPS2T, complete genome;169604;linear DNA;1;2321390;NC_054944;2023-01-10
Yersinia phage vB_YepM_ZN18, complete genome;167948;circular DNA;1;2691085;NC_054945;2023-01-11
Shigella phage KNP5, complete genome;193624;linear DNA;1;1871710;NC_055713;2023-01-09
Yersinia phage fPS-90, complete genome;167132;linear DNA;1;2052932;NC_055723;2023-01-10
Yersinia phage fPS-65, complete genome;167058;linear DNA;1;2052931;NC_055724;2023-01-10
Enterobacteria phage vB_EcoM_IME339, complete genome;164366;circular DNA;1;2163889;NC_055741;2023-01-10
Escherichia phage MLF4, complete genome;167379;linear DNA;1;2448909;NC_055780;2023-01-10
Phage NBEco003, complete genome;166579;circular DNA;1;2712972;NC_055831;2023-01-11
