LIBID	query_name	unpaired_read_count	pangene	k2_taxon	Uniref90_ID	description_of_target	region
MHS339	MET_03040834	4	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS341	MET_02967399	18	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ac
MHS341	MET_02967399	18	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ac
MHS341	MET_03027534	1	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ac
MHS341	UniRef90_A0A4Q9WQR6	6	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Ac
MHS341	UniRef90_O86860	1	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Ac
MHS344	MET_03151623	98	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS345	UniRef90_Q8VSX3	25	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Vf
MHS345	MET_03027534	1	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Vf
MHS347	MET_03040834	2	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS347	UniRef90_A0A4Q9WQR6	143	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Tw
MHS347	MET_03040834	256	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS347	UniRef90_O86860	19	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Tw
MHS349	MET_03027534	3	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Sc
MHS349	UniRef90_O86860	10	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Sc
MHS349	MET_03151623	9	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS349	MET_02967399	21	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Sc
MHS349	UniRef90_Q6A9K8	2	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Sc
MHS349	genome_07259151	1	genome_07259151	Staphylococcus_capitis	-	epsilon family phenol-soluble modulin	Sc
MHS349	UniRef90_Q8VT03	15	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Sc
MHS349	MET_02967399	21	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS351	UniRef90_A0A4Q9WQR6	1	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS355	MET_02967399	31	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ac
MHS355	MET_00876468	9	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	halocin C8 precursor-like protein	Ac
MHS355	UniRef90_A0A650A8S0	1172	-	Staphylococcus_capitis	UniRef90_A0A650A8S0	gallidermin/nisin family lantibiotic	Ac
MHS355	UniRef90_O86860	3	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Ac
MHS355	DP_07471654	2	DP_07471654	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Ac
MHS355	MET_02956429	2	MET_02956429	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Ac
MHS355	UniRef90_Q8VT03	33	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Ac
MHS355	MET_03151623	10	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ac
MHS355	MET_03027534	13	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ac
MHS355	MET_00876468	9	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	bacteriocin halocin C8-like domain	Ac
MHS355	MET_02967399	31	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ac
MHS355	MET_03040834	2	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Ac
MHS357	UniRef90_A0A364UNY4	1	-	Staphylococcus	UniRef90_A0A364UNY4	cyclic lactone autoinducer peptide	Sc
MHS357	genome_07446594	2	genome_07446594	Staphylococcus	UniRef90_A0A364UNY4	cyclic lactone autoinducer peptide	Sc
MHS358	MET_02967399	27	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Tw
MHS358	MET_02967399	27	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Tw
MHS358	UniRef90_Q8VT03	27	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Tw
MHS361	MET_03040834	1	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS363	UniRef90_A0A4Q9WQR6	22	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS364	genome_00627375	81	genome_00627375	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Vf
MHS364	MET_02967399	49	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Vf
MHS364	MET_02967399	49	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Vf
MHS364	MET_03142466	8	MET_03142466	Staphylococcus_hominis	UniRef90_A0A657M3E8	cyclic lactone autoinducer peptide	Vf
MHS364	UniRef90_A0A1F1BU57	166	-	Staphylococcus_hominis	UniRef90_A0A1F1BU57	cyclic lactone autoinducer peptide	Vf
MHS365	MET_03040834	716	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS365	MET_03040834	8	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS367	MET_02698842	2	MET_02698842	Staphylococcus_epidermidis	-	plantaricin C family lantibiotic	Vf
MHS367	UniRef90_A0A4Q9WQR6	7	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS367	UniRef90_Q8VSX3	11	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Vf
MHS367	MET_03040834	2	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS367	MET_03040834	211	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS367	MET_02967399	10	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Vf
MHS367	MET_02967399	10	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Vf
MHS368	MET_03040834	1	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS368	UniRef90_O86860	9	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Vf
MHS368	DP_08230762	46	DP_08230762	Staphylococcus_epidermidis	UniRef90_A0A0K0PRV8	lacticin 481 family lantibiotic	Vf
MHS368	MET_03027534	5	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Vf
MHS368	UniRef90_A0A7X9ZJ38	8	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Vf
MHS368	UniRef90_A0A4Q9WQR6	19	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS370	MET_03146608	205	MET_03146608	Staphylococcus_caprae	UniRef90_Q8VSZ4	cyclic lactone autoinducer peptide	Tw
MHS370	UniRef90_Q8VSX3	117	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Tw
MHS371	MET_02967399	2	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ac
MHS371	MET_02967399	2	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ac
MHS372	MET_03040834	307	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS372	UniRef90_UPI00138AB48B	46	-	Staphylococcus_epidermidis	UniRef90_UPI00138AB48B	bacteriocin halocin C8-like domain	Tw
MHS372	MET_00876468	89	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	halocin C8 precursor-like protein	Tw
MHS372	UniRef90_A0A4Q9WQR6	327	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Tw
MHS372	UniRef90_Q8VSX3	70	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Tw
MHS372	MET_02307432	46	MET_02307432	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Tw
MHS372	MET_03040834	14612	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS372	MET_03142466	39	MET_03142466	Staphylococcus_hominis	UniRef90_A0A657M3E8	cyclic lactone autoinducer peptide	Tw
MHS372	UniRef90_E0WX65	4	-	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS372	MET_03032000	2	MET_03032000	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Tw
MHS372	MET_00876468	89	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	bacteriocin halocin C8-like domain	Tw
MHS373	MET_02967399	16	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS373	UniRef90_Q8VT03	106	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Sc
MHS373	UniRef90_A0A4Q9WQR6	1	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Sc
MHS373	UniRef90_Q8VSX3	4	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Sc
MHS373	MET_02967399	16	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Sc
MHS373	DP_08230762	3	DP_08230762	Staphylococcus_epidermidis	UniRef90_A0A0K0PRV8	lacticin 481 family lantibiotic	Sc
MHS373	MET_02307432	14	MET_02307432	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Sc
MHS374	MET_02967399	19	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS374	MET_02967399	19	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS375	genome_07446594	11	genome_07446594	Staphylococcus_warneri	UniRef90_A0A364UNY4	cyclic lactone autoinducer peptide	Tw
MHS375	UniRef90_Q8VT00	10	-	Staphylococcus_capitis	UniRef90_Q8VT00	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_O86860	436	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_A0A2A1KAK5	9	-	Staphylococcus_haemolyticus	UniRef90_A0A2A1KAK5	cyclic lactone autoinducer peptide	Tw
MHS377	DP_07471654	2	DP_07471654	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Tw
MHS377	MET_03142466	3	MET_03142466	Staphylococcus_hominis	UniRef90_A0A657M3E8	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_A0A657M3E8	1	-	Staphylococcus_hominis	UniRef90_A0A657M3E8	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_A0A2K4C894	1	-	Staphylococcus_haemolyticus	UniRef90_A0A2K4C894	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_Q8VT00	1	-	Staphylococcus_capitis	UniRef90_Q8VT00	cyclic lactone autoinducer peptide	Tw
MHS377	MET_00876468	68	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	halocin C8 precursor-like protein	Tw
MHS377	MET_03032000	2	MET_03032000	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Tw
MHS377	MET_03027534	239	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Tw
MHS377	MET_02956429	1	MET_02956429	Staphylococcus_epidermidis	-	bacteriocin halocin C8-like domain	Tw
MHS377	UniRef90_A0A3S0TL63	5	-	Staphylococcus_epidermidis	UniRef90_A0A3S0TL63	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_Q8VSX3	265	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Tw
MHS377	UniRef90_A0A2T4SN36	1	-	Staphylococcus_haemolyticus	UniRef90_A0A2T4SN36	cyclic lactone autoinducer peptide	Tw
MHS377	genome_07446594	14	genome_07446594	Staphylococcus_warneri	UniRef90_A0A364UNY4	cyclic lactone autoinducer peptide	Tw
MHS377	MET_00876468	68	MET_00876468	Staphylococcus_epidermidis	UniRef90_A0A509LRT7	bacteriocin halocin C8-like domain	Tw
MHS378	UniRef90_Q6A9K8	5	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Sc
MHS378	MET_02967399	95	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS378	UniRef90_Q8VT03	4	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Sc
MHS378	MET_02967399	95	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Sc
MHS378	MET_03151623	21	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS378	MET_03040834	2	MET_03040834	Staphylococcus	UniRef90_E0WX65	lacticin 481 family lantibiotic	Sc
MHS378	UniRef90_A0A650A8S0	17	-	Staphylococcus_capitis	UniRef90_A0A650A8S0	gallidermin/nisin family lantibiotic	Sc
MHS379	MET_02986711	2	MET_02986711	Staphylococcus_capitis	-	gallidermin/nisin family lantibiotic	Ch
MHS379	MET_02536985	43	MET_02536985	Streptococcus_pneumoniae	UniRef90_A0A0B7LZ57	lactococcin 972 family bacteriocin	Ch
MHS379	MET_03027534	4	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ch
MHS379	UniRef90_A0A650A8S0	72	-	Staphylococcus_capitis	UniRef90_A0A650A8S0	gallidermin/nisin family lantibiotic	Ch
MHS379	genome_07259151	3	genome_07259151	Staphylococcus_capitis	-	epsilon family phenol-soluble modulin	Ch
MHS379	UniRef90_Q8VT03	16	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Ch
MHS379	MET_00356962	178	MET_00356962	Streptococcus_pneumoniae	UniRef90_A0A4F4SJR8	L-lactate oxidase	Ch
MHS379	MET_02967399	231	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS379	UniRef90_A0A7X9ZJ38	35	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Ch
MHS379	MET_02967399	231	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS379	MET_00356962	7	MET_00356962	Streptococcus	UniRef90_A0A4F4SJR8	L-lactate oxidase	Ch
MHS381	UniRef90_O86860	6	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Sc
MHS381	MET_02967399	138	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Sc
MHS381	MET_03027534	34	MET_03027534	Staphylococcus_saccharolyticus	-	cyclic lactone autoinducer peptide	Sc
MHS381	MET_03151623	57	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS381	MET_02967399	138	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS381	MET_03040834	48	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Sc
MHS382	genome_00610233	110	genome_00610233	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	genome_00627375	20	genome_00627375	Streptococcus_mitis	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	MET_03040834	194	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Vf
MHS382	MET_02698842	1	MET_02698842	Cutibacterium_acnes	-	plantaricin C family lantibiotic	Vf
MHS382	genome_00657209	14	genome_00657209	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	UniRef90_A0A4Q9WQR6	15	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Vf
MHS382	genome_00610233	10	genome_00610233	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	genome_00657209	43	genome_00657209	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	MET_02967399	6	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Vf
MHS382	UniRef90_O86860	2	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Vf
MHS382	genome_00627375	4	genome_00627375	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	genome_00627375	263	genome_00627375	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	genome_00657209	8	genome_00657209	Streptococcus_mitis	UniRef90_Q54970	pyruvate oxidase	Vf
MHS382	MET_02967399	6	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Vf
MHS382	MET_03027534	9	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Vf
MHS382	genome_07442429	4	genome_07442429	Streptococcus	UniRef90_A0A1X1ILY2	class IIb bacteriocin, lactobin A/cerein 7B family	Vf
MHS383	UniRef90_A0A7X9ZJ38	4	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Tw
MHS383	UniRef90_Q8VSX3	6	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Tw
MHS383	UniRef90_Q8VT00	31	-	Staphylococcus_capitis	UniRef90_Q8VT00	cyclic lactone autoinducer peptide	Tw
MHS383	MET_03040834	65	MET_03040834	Staphylococcus_hominis	UniRef90_E0WX65	lacticin 481 family lantibiotic	Tw
MHS383	UniRef90_A0A4Q9WQR6	30	-	Staphylococcus_hominis	UniRef90_A0A4Q9WQR6	cyclic lactone autoinducer peptide	Tw
MHS384	DP_05133165	18	DP_05133165	Cutibacterium_granulosum	UniRef90_U1GCQ2	lactococcin 972 family bacteriocin	Ch
MHS384	genome_07259151	1	genome_07259151	Staphylococcus_capitis	-	epsilon family phenol-soluble modulin	Ch
MHS384	UniRef90_Q8VSX3	3	-	Staphylococcus_epidermidis	UniRef90_Q8VSX3	cyclic lactone autoinducer peptide	Ch
MHS384	UniRef90_A0A7X9ZJ38	1	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Ch
MHS384	UniRef90_Q6A9K8	3	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Ch
MHS384	MET_02967399	268	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS384	UniRef90_Q8VT03	1	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Ch
MHS384	MET_02967399	268	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS385	UniRef90_A0A7X9ZJ38	4	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Sc
MHS385	UniRef90_Q9L561	2	-	Staphylococcus_argenteus	UniRef90_Q9L561	cyclic lactone autoinducer peptide	Sc
MHS386	MET_02967399	61	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin	Ch
MHS386	DP_05133165	30	DP_05133165	Cutibacterium_granulosum	UniRef90_U1GCQ2	lactococcin 972 family bacteriocin	Ch
MHS386	MET_02967399	61	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Ch
MHS386	UniRef90_A0A7X9ZJ38	7	-	Staphylococcus_capitis	UniRef90_A0A7X9ZJ38	cyclic lactone autoinducer peptide	Ch
MHS386	UniRef90_Q8VT03	10	-	Staphylococcus_capitis	UniRef90_Q8VT03	cyclic lactone autoinducer peptide	Ch
MHS386	MET_03027534	3	MET_03027534	Staphylococcus_epidermidis	-	cyclic lactone autoinducer peptide	Ch
MHS386	UniRef90_O86860	3	-	Staphylococcus_epidermidis	UniRef90_O86860	cyclic lactone autoinducer peptide	Ch
MHS388	genome_00657997	57	genome_00657997	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00610233	13	genome_00610233	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00657209	3	genome_00657209	Streptococcus_mitis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00657283	5	genome_00657283	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00657283	6	genome_00657283	Streptococcus_mitis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	UniRef90_Q6A9K8	7	-	Cutibacterium_acnes	UniRef90_Q6A9K8	lactococcin 972 family bacteriocin	Sc
MHS388	genome_00657283	40	genome_00657283	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00627375	49	genome_00627375	Streptococcus_mitis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00657209	197	genome_00657209	Streptococcus	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00627375	8	genome_00627375	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	MET_03151623	36	MET_03151623	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS388	MET_02967399	61	MET_02967399	Cutibacterium_acnes	-	thiazolylpeptide-type bacteriocin precursor	Sc
MHS388	genome_00657997	10	genome_00657997	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Sc
MHS388	genome_00657209	2	genome_00657209	Streptococcus_oralis	UniRef90_Q54970	pyruvate oxidase	Sc
