Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_11,dispensable,C,Belongs to the heme-copper respiratory oxidase family,Menaquinol oxidase (H(+)-transporting)[1.10.3.12]; Cytochrome-c oxidase[1.9.3.1],cytochrome c oxidase subunit I[K02274]; cytochrome aa3-600 menaquinol oxidase subunit I[K02827],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100],Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O[R00081]; 2 Menaquinol + Oxygen + n H+ <=> 2 Menaquinone + 2 H2O + n H+[R09492],-,-,-
cluster_12,dispensable,J,An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay,-,ribonuclease J[K12574],RNA degradation[map03018],-,-,-,-
cluster_13,core,J,Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions,Formylmethionine deformylase[3.5.1.31]; Peptide deformylase[3.5.1.88],peptide deformylase[K01462],Cysteine and methionine metabolism[map00270]; Glyoxylate and dicarboxylate metabolism[map00630],N-Formylmethionine + H2O <=> Formate + L-Methionine[R00653],-,-,-
cluster_14,core,L,The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision,-,excinuclease ABC subunit C[K03703],Nucleotide excision repair[map03420],-,-,-,-
cluster_15,core,C,succinate dehydrogenase,-,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit[K00241]; fumarate reductase subunit D[K00247]",Citrate cycle (TCA cycle)[map00020]; Oxidative phosphorylation[map00190]; Pyruvate metabolism[map00620]; Butanoate metabolism[map00650]; Carbon fixation pathways in prokaryotes[map00720]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Two-component system[map02020],Quinone + Succinate <=> Hydroquinone + Fumarate[R02164],-,-,-
cluster_16,core,J,Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA,16S rRNA (cytosine(1402)-N(4))-methyltransferase[2.1.1.199],16S rRNA (cytosine1402-N4)-methyltransferase[K03438],-,-,-,-,-
cluster_17,core,D,"Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation, perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA",-,cell division inhibitor SepF[K09772],-,-,-,-,-
cluster_18,dispensable,J,"Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism",Ribonuclease III[3.1.26.3],ribonuclease III[K03685],-,-,-,-,-
cluster_19,core,J,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome,-,elongation factor Ts[K02357],-,-,-,-,-
cluster_20,core,J,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA,-,ribosome-binding factor A[K02834],-,-,-,-,-
cluster_21,core,J,An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay,-,ribonuclease J[K12574],RNA degradation[map03018],-,-,-,-
cluster_22,core,S,YmdB-like protein,-,"polar amino acid transport system permease protein[K02029]; polar amino acid transport system substrate-binding protein[K02030]; 2',3'-cyclic-nucleotide 2'-phosphodiesterase[K09769]",-,-,-,-,-
cluster_23,core,C,ferredoxin oxidoreductase,2-oxoacid oxidoreductase (ferredoxin)[1.2.7.11]; 2-oxoglutarate synthase[1.2.7.3],2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha[K00174],Glycolysis / Gluconeogenesis[map00010]; Citrate cycle (TCA cycle)[map00020]; Pyruvate metabolism[map00620]; Butanoate metabolism[map00650]; Carbon fixation pathways in prokaryotes[map00720]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA[R01196]; 2 Reduced ferredoxin + Succinyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + 2-Oxoglutarate + CoA[R01197],-,-,-
cluster_24,core,J,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine",tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase[2.8.4.3],tRNA-2-methylthio-N6-dimethylallyladenosine synthase[K06168],-,tRNA containing 6-isopentenyladenosine + Sulfur donor + 2 S-Adenosyl-L-methionine <=> 2-Methylthio-N6-dimethylallyladenine in tRNA + S-Adenosyl-L-homocysteine + L-Methionine + 5'-Deoxyadenosine[R10645]; tRNA containing 6-isopentenyladenosine + Sulfur donor + S-Adenosyl-L-methionine <=> 2-Thio-N6-dimethylallyladenine in tRNA + L-Methionine + 5'-Deoxyadenosine[R10646]; 2-Thio-N6-dimethylallyladenine in tRNA + S-Adenosyl-L-methionine <=> 2-Methylthio-N6-dimethylallyladenine in tRNA + S-Adenosyl-L-homocysteine[R10647],-,-,-
cluster_25,core,P,Belongs to the Fur family,-,"Fur family transcriptional regulator, ferric uptake regulator[K03711]",-,-,-,-,-
cluster_26,core,G,Alpha-amylase domain,"Alpha-amylase[3.2.1.1]; Oligo-1,6-glucosidase[3.2.1.10]; Alpha-glucosidase[3.2.1.20]; Maltose alpha-D-glucosyltransferase[5.4.99.16]","oligo-1,6-glucosidase[K01182]; alpha-glucosidase[K01187]; maltose alpha-D-glucosyltransferase / alpha-amylase[K05343]",Galactose metabolism[map00052]; Starch and sucrose metabolism[map00500]; Metabolic pathways[map01100],"Maltose + H2O <=> 2 D-Glucose[R00028]; Sucrose + H2O <=> D-Fructose + D-Glucose[R00801]; Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose[R00802]; Maltose <=> alpha,alpha-Trehalose[R01557]; Isomaltose + H2O <=> alpha-D-Glucose + D-Glucose[R01718]; Dextrin + H2O <=> D-Glucose + Dextrin[R01791]; Starch + H2O <=> Dextrin + Starch[R02108]; Starch <=> Dextrin + Maltose[R02112]; Sucrose + H2O <=> D-Fructose + D-Glucose[R06087]; Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose[R06088]; Starch(n+1) + H2O <=> alpha-D-Glucose + Starch(n)[R06199]; Maltodextrin + H2O <=> Maltose[R11262]",-,-,-
cluster_27,core,G,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH","Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)[1.1.1.343]; Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)[1.1.1.44]",6-phosphogluconate dehydrogenase[K00033],Pentose phosphate pathway[map00030]; Glutathione metabolism[map00480]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200],6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+[R01528]; 6-Phospho-D-gluconate + NAD+ <=> D-Ribulose 5-phosphate + CO2 + NADH + H+[R10221],-,-,-
cluster_28,core,S,Belongs to the UPF0403 family,-,-,-,-,-,-,-
cluster_29,core,L,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB",DNA helicase[3.6.4.12],holliday junction DNA helicase RuvA[K03550],Homologous recombination[map03440],-,-,-,-
cluster_30,core,H,"Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS",tRNA uracil 4-sulfurtransferase[2.8.1.4],tRNA uracil 4-sulfurtransferase[K03151],Thiamine metabolism[map00730]; Metabolic pathways[map01100]; Sulfur relay system[map04122],[Enzyme]-S-sulfanylcysteine + Adenylyl-[sulfur-carrier protein] + Reduced acceptor <=> AMP + Thiocarboxy-[sulfur-carrier protein] + [Enzyme]-cysteine + Acceptor[R07461],-,-,-
cluster_31,core,S,intracellular protease,Protein deglycase[3.5.1.124],protease I[K05520],-,-,-,-,-
cluster_32,dispensable,S,Cell wall-active antibiotics response 4TMS YvqF,-,lia operon protein LiaF[K11622],Two-component system[map02020],-,-,-,-
cluster_33,core,S,Trp repressor protein,-,"TrpR family transcriptional regulator, trp operon repressor[K03720]",-,-,-,-,-
cluster_34,core,E,Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids,Alanine racemase[5.1.1.1]; Lysine racemase[5.1.1.5],alanine racemase[K01775]; lysine racemase[K20707],Metabolic pathways[map01100]; Vancomycin resistance[map01502],L-Alanine <=> D-Alanine[R00401],-,-,-
cluster_35,core,F,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates,CTP synthase (glutamine hydrolyzing)[6.3.4.2],CTP synthase[K01937],Pyrimidine metabolism[map00240]; Metabolic pathways[map01100],ATP + UTP + Ammonia <=> ADP + Orthophosphate + CTP[R00571]; ATP + UTP + L-Glutamine + H2O <=> ADP + Orthophosphate + CTP + L-Glutamate[R00573],-,-,-
cluster_36,core,J,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs",tRNA pseudouridine(38-40) synthase[5.4.99.12],tRNA pseudouridine38-40 synthase[K06173],-,-,-,-,-
cluster_37,core,J,"This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits",-,large subunit ribosomal protein L5[K02931],Ribosome[map03010],-,-,-,-
cluster_38,core,G,"Specifically catalyzes the cleavage of the D-lactyl ether substituent of MurNAc 6-phosphate, producing GlcNAc 6- phosphate and D-lactate",N-acetylmuramic acid 6-phosphate etherase[4.2.1.126],N-acetylmuramic acid 6-phosphate etherase[K07106],Amino sugar and nucleotide sugar metabolism[map00520]; Metabolic pathways[map01100],(R)-Lactate + N-Acetyl-D-glucosamine 6-phosphate <=> N-Acetylmuramic acid 6-phosphate + H2O[R08555],-,-,-
cluster_39,dispensable,V,COG1566 Multidrug resistance efflux pump,-,"HlyD family secretion protein[K01993]; membrane fusion protein, multidrug efflux system[K03543]",-,-,-,-,-
cluster_40,core,H,"Catalyzes the rearrangement of 1-deoxy-D-xylulose 5- phosphate (DXP) to produce the thiazole phosphate moiety of thiamine. Sulfur is provided by the thiocarboxylate moiety of the carrier protein ThiS. In vitro, sulfur can be provided by H(2)S",Thiazole synthase[2.8.1.10],thiazole synthase[K03149],Thiamine metabolism[map00730]; Metabolic pathways[map01100],"1-Deoxy-D-xylulose 5-phosphate + Iminoglycine + Thiocarboxy-[sulfur-carrier protein] <=> 2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate + Sulfur-carrier protein + 2 H2O[R10247]",-,-,-
cluster_41,core,M,"Increases the activity of extracellular murein hydrolases possibly by mediating their export via hole formation. Inhibited by the antiholin-like proteins LrgAB. In an unstressed cell, the LrgAB products probably inhibit the function of the CidAB proteins. When a cell is stressed by the addition of antibiotics or by other factors in the environment, the CidAB proteins possibly oligomerize within the bacterial cell membrane, creating lesions that disrupt the proton motive force, which in turn results in loss of cell viability. These lesions are also hypothesized to regulate the subsequent cell lysis by either allowing the murein hydrolases access to the cell wall substrate and or regulating their activity by a",-,holin-like protein LrgB[K05339],Two-component system[map02020],-,-,-,-
cluster_42,core,K,Transcriptional regulator,-,-,-,-,-,-,-
cluster_43,core,S,"Bifunctional serine threonine kinase and phosphorylase involved in the regulation of the pyruvate, phosphate dikinase (PPDK) by catalyzing its phosphorylation dephosphorylation","[Pyruvate, water dikinase] kinase[2.7.11.33]; ([Pyruvate, water dikinase] phosphate) phosphotransferase[2.7.4.28]","[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase[K09773]",-,-,-,-,-
cluster_44,core,K,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,-,"two-component system, OmpR family, response regulator protein GraR[K19078]; two-component system, OmpR family, response regulator protein BraR/BceR[K19082]",Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020],-,-,-,-
cluster_45,core,L,endonuclease containing a URI domain,-,putative endonuclease[K07461],-,-,-,-,-
cluster_46,core,L,Involved in initiation control of chromosome replication,-,-,-,-,-,-,-
cluster_47,core,S,3-demethylubiquinone-9 3-methyltransferase,-,PhnB protein[K04750],-,-,-,-,-
cluster_48,dispensable,F,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth",IMP dehydrogenase[1.1.1.205],IMP dehydrogenase[K00088],Purine metabolism[map00230]; Drug metabolism - other enzymes[map00983]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],IMP + NAD+ + H2O <=> Xanthosine 5'-phosphate + NADH + H+[R01130]; 6-Thioinosine-5'-monophosphate + NAD+ + H2O <=> 6-Thioxanthine 5'-monophosphate + NADH + H+[R08240],-,-,-
cluster_49,core,L,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,Ribonuclease H[3.1.26.4],ribonuclease HII[K03470],DNA replication[map03030],-,-,-,-
cluster_50,dispensable,L,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,-,chromosomal replication initiator protein[K02313],Two-component system[map02020]; Cell cycle - Caulobacter[map04112],-,-,-,-
cluster_51,core,J,ribosomal protein,-,large subunit ribosomal protein L7A[K07590],Ribosome[map03010],-,-,-,-
cluster_52,core,P,Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily,-,iron complex transport system permease protein[K02015],ABC transporters[map02010],-,-,-,-
cluster_53,core,S,Protein of unknown function (DUF3055),-,-,-,-,-,-,-
cluster_54,dispensable,K,"Iron dependent repressor, metal binding and dimerisation domain",-,"DtxR family transcriptional regulator, Mn-dependent transcriptional regulator[K03709]",-,-,-,-,-
cluster_55,core,K,Transcriptional regulator,-,-,-,-,-,-,-
cluster_56,core,J,Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase,-,putative sigma-54 modulation protein[K05808],-,-,-,-,-
cluster_57,core,M,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins,16S rRNA (cytosine(1402)-N(4))-methyltransferase[2.1.1.199],16S rRNA (cytosine1402-N4)-methyltransferase[K03438]; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase[K13292],-,-,-,-,-
cluster_58,core,OU,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins,Endopeptidase Clp[3.4.21.92],"ATP-dependent Clp protease, protease subunit[K01358]",Cell cycle - Caulobacter[map04112],-,-,-,-
cluster_59,core,IQ,"Carrier protein involved in the D-alanylation of lipoteichoic acid (LTA). The loading of thioester-linked D-alanine onto DltC is catalyzed by D-alanine--D-alanyl carrier protein ligase DltA. The DltC-carried D-alanyl group is further transferred to cell membrane phosphatidylglycerol (PG) by forming an ester bond, probably catalyzed by DltD. D-alanylation of LTA plays an important role in modulating the properties of the cell wall in Gram-positive bacteria, influencing the net charge of the cell wall",D-alanine--poly(phosphoribitol) ligase[6.1.1.13],acyl carrier protein[K02078]; D-alanine--poly(phosphoribitol) ligase subunit 2[K14188],Cationic antimicrobial peptide (CAMP) resistance[map01503]; Two-component system[map02020]; Staphylococcus aureus infection[map05150],ATP + D-Alanine + Poly(ribitol phosphate) <=> AMP + Diphosphate + O-D-Alanyl-poly(ribitol phosphate)[R02718],-,-,-
cluster_60,core,O,NifU-like domain,-,-,-,-,-,-,-
cluster_61,core,S,Protein of unknown function (DUF1462),-,-,-,-,-,-,-
cluster_62,core,Q,"protein, possibly involved in aromatic compounds catabolism",-,-,-,-,-,-,-
cluster_63,core,M,Catalyzes the addition of L-lysine to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan,"UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase[6.3.2.10]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase[6.3.2.13]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase[6.3.2.7]","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase[K01928]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase[K05362]; MurE/MurF fusion protein[K15792]",Lysine biosynthesis[map00300]; Peptidoglycan biosynthesis[map00550]; Metabolic pathways[map01100],"ATP + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + L-Lysine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine[R02786]; ATP + UDP-N-acetylmuramoyl-L-alanyl-D-glutamate + meso-2,6-Diaminoheptanedioate <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate[R02788]; ATP + UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate + D-Alanyl-D-alanine <=> ADP + Orthophosphate + UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine[R04617]",-,-,-
cluster_64,core,S,IDEAL domain protein,-,-,-,-,-,-,-
cluster_65,dispensable,C,Dehydrogenase E1 component,Pyruvate dehydrogenase (acetyl-transferring)[1.2.4.1]; 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)[1.2.4.4],pyruvate dehydrogenase E1 component alpha subunit[K00161]; 2-oxoisovalerate dehydrogenase E1 component alpha subunit[K00166],"Glycolysis / Gluconeogenesis[map00010]; Citrate cycle (TCA cycle)[map00020]; Valine, leucine and isoleucine degradation[map00280]; Pyruvate metabolism[map00620]; Propanoate metabolism[map00640]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]",Pyruvate + Thiamin diphosphate <=> 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2[R00014]; Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+[R00209]; Pyruvate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + CO2[R01699]; 2-(alpha-Hydroxyethyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine + Thiamin diphosphate[R03270]; 3-Methyl-2-oxobutanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxypropyl-ThPP + CO2[R07599]; 2-Methyl-1-hydroxypropyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine + Thiamin diphosphate[R07600]; 4-Methyl-2-oxopentanoate + Thiamin diphosphate <=> 3-Methyl-1-hydroxybutyl-ThPP + CO2[R07601]; 3-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate[R07602]; (S)-3-Methyl-2-oxopentanoic acid + Thiamin diphosphate <=> 2-Methyl-1-hydroxybutyl-ThPP + CO2[R07603]; 2-Methyl-1-hydroxybutyl-ThPP + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + Thiamin diphosphate[R07604]; 2-Oxobutanoate + Thiamin diphosphate <=> 2-(alpha-Hydroxypropyl)thiamine diphosphate + CO2[R10996]; 2-(alpha-Hydroxypropyl)thiamine diphosphate + Enzyme N6-(lipoyl)lysine <=> Enzyme N6-(S-propyldihydrolipoyl)lysine + Thiamin diphosphate[R10997],-,-,-
cluster_66,dispensable,T,GTP-binding protein TypA,-,GTP-binding protein[K06207],-,-,-,-,-
cluster_67,core,L,Conserved hypothetical protein 95,16S rRNA (guanine(966)-N(2))-methyltransferase[2.1.1.171],16S rRNA (guanine966-N2)-methyltransferase[K08316],-,S-Adenosyl-L-methionine + rRNA <=> S-Adenosyl-L-homocysteine + rRNA containing N2-methylguanine[R07234],-,-,-
cluster_68,core,F,"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate",Pantetheine-phosphate adenylyltransferase[2.7.7.3],pantetheine-phosphate adenylyltransferase[K00954],Pantothenate and CoA biosynthesis[map00770]; Metabolic pathways[map01100],ATP + Pantetheine 4'-phosphate <=> Diphosphate + Dephospho-CoA[R03035],-,-,-
cluster_69,core,J,Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily,Phenylalanine--tRNA ligase[6.1.1.20],phenylalanyl-tRNA synthetase beta chain[K01890]; tRNA-binding protein[K06878],Aminoacyl-tRNA biosynthesis[map00970],ATP + L-Phenylalanine + tRNA(Phe) <=> AMP + Diphosphate + L-Phenylalanyl-tRNA(Phe)[R03660],-,-,-
cluster_70,core,S,"Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis",-,PLP dependent protein[K06997],-,-,-,-,-
cluster_71,core,S,YGGT family,-,YggT family protein[K02221],-,-,-,-,-
cluster_72,core,F,Belongs to the ATCase OTCase family,Aspartate carbamoyltransferase[2.1.3.2],aspartate carbamoyltransferase[K00608]; aspartate carbamoyltransferase catalytic subunit[K00609],"Pyrimidine metabolism[map00240]; Alanine, aspartate and glutamate metabolism[map00250]; Metabolic pathways[map01100]",Carbamoyl phosphate + L-Aspartate <=> Orthophosphate + N-Carbamoyl-L-aspartate[R01397],-,-,-
