Clusters,Pangenome Class,COG,Description,Enzyme Class,KEGG Orthology,KEGG Pathway,KEGG Reaction,Resistance Product,Resistance,Metabolism
cluster_33,core,M,Provides the (R)-glutamate required for cell wall biosynthesis,XTP/dITP diphosphatase[3.6.1.66]; Glutamate racemase[5.1.1.3],glutamate racemase[K01776],Purine metabolism[map00230]; Metabolic pathways[map01100],L-Glutamate <=> D-Glutamate[R00260]; GTP + H2O <=> GMP + Diphosphate[R00426]; ITP + H2O <=> IMP + Diphosphate[R00720]; dGTP + H2O <=> dGMP + Diphosphate[R01855]; dUTP + H2O <=> dUMP + Diphosphate[R02100]; XTP + H2O <=> Xanthosine 5'-phosphate + Diphosphate[R02720]; dITP + H2O <=> 2'-Deoxyinosine 5'-phosphate + Diphosphate[R03531],-,-,-
cluster_34,core,S,Zincin-like metallopeptidase,Acetylglutamate kinase[2.7.2.8],acetylglutamate kinase[K00930],Arginine biosynthesis[map00220]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; 2-Oxocarboxylic acid metabolism[map01210]; Biosynthesis of amino acids[map01230],ATP + N-Acetyl-L-glutamate <=> ADP + N-Acetyl-L-glutamate 5-phosphate[R02649],-,-,-
cluster_35,core,M,Glycosyltransferase Family 4,-,"alpha-1,6-mannosyltransferase[K14335]",-,-,-,-,-
cluster_36,core,-,-,-,-,-,-,-,-,-
cluster_37,core,S,Belongs to the UPF0225 family,-,uncharacterized protein[K07039]; SEC-C motif domain protein[K09858],-,-,-,-,-
cluster_38,core,J,Specifically methylates the guanine in position 1835 (m2G1835) of 23S rRNA,16S rRNA (guanine(1207)-N(2))-methyltransferase[2.1.1.172]; 23S rRNA (guanine(1835)-N(2))-methyltransferase[2.1.1.174],16S rRNA (guanine1207-N2)-methyltransferase[K00564]; 23S rRNA (guanine1835-N2)-methyltransferase[K11391],-,S-Adenosyl-L-methionine + rRNA <=> S-Adenosyl-L-homocysteine + rRNA containing N2-methylguanine[R07234],-,-,-
cluster_39,core,S,Polysaccharide biosynthesis protein,-,-,-,-,-,-,-
cluster_40,core,O,belongs to the thioredoxin family,-,thioredoxin 1[K03671],NOD-like receptor signaling pathway[map04621],-,-,-,-
cluster_41,core,S,mitochondrial respiratory chain complex IV assembly,-,surfeit locus 1 family protein[K14998],-,-,-,-,-
cluster_42,core,P,Binding-protein-dependent transport system inner membrane component,-,multiple sugar transport system permease protein[K02025]; N-acetylglucosamine transport system permease protein[K10201]; arabinogalactan oligomer / maltooligosaccharide transport system permease protein[K15771]; glucose/mannose transport system permease protein[K17316],ABC transporters[map02010],-,-,-,-
cluster_43,core,M,NlpC/P60 family,-,peptidoglycan DL-endopeptidase CwlO[K21471]; peptidoglycan DL-endopeptidase RipA[K21473],-,-,-,-,-
cluster_44,core,S,Protein of unknown function (DUF3093),-,-,-,-,-,-,-
cluster_45,core,S,Methylamine utilisation protein MauE,-,-,-,-,-,-,-
cluster_46,core,-,-,-,-,-,-,-,-,-
cluster_47,core,H,Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate,Lipoyl(octanoyl) transferase[2.3.1.181]; Lipoyl synthase[2.8.1.8],lipoyl synthase[K03644]; lipoyl(octanoyl) transferase[K03801],Lipoic acid metabolism[map00785]; Metabolic pathways[map01100],Octanoyl-[acp] + [Lipoyl-carrier protein]-L-lysine <=> [Protein]-N6-(octanoyl)-L-lysine + Acyl-carrier protein[R07766]; [Protein]-N6-(octanoyl)-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster + 2 S-Adenosyl-L-methionine + 2 Reduced [2Fe-2S] ferredoxin + 8 H+ <=> [Protein]-N6-[(R)-dihydrolipoyl]-L-lysine + [Fe-S] cluster scaffold protein + 2 Hydrogen sulfide + 4 Fe2+ + 2 L-Methionine + 2 5'-Deoxyadenosine + 2 Oxidized [2Fe-2S] ferredoxin[R07767]; Lipoyl-[acp] + [Lipoyl-carrier protein]-L-lysine <=> Protein N6-(lipoyl)lysine + Acyl-carrier protein[R07769],-,-,-
cluster_48,dispensable,G,Belongs to the glycosyl hydrolase 13 family,"Limit dextrin alpha-1,6-maltotetraose-hydrolase[3.2.1.196]; Isoamylase[3.2.1.68]",isoamylase[K01214]; glycogen debranching enzyme[K02438],Starch and sucrose metabolism[map00500]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],"Starch + Orthophosphate <=> Amylose + D-Glucose 1-phosphate[R02111]; Starch <=> alpha,alpha-Trehalose[R09995]; Starch + n H2O <=> (n+1) Maltodextrin[R11261]",-,-,Carbon Cycle: Organic carbon oxidation
cluster_49,core,-,-,-,-,-,-,-,-,-
cluster_50,core,S,integral membrane protein,-,-,-,-,-,-,-
cluster_51,core,G,Belongs to the carbohydrate kinase PfkB family,6-phosphofructokinase[2.7.1.11]; 1-phosphofructokinase[2.7.1.56],1-phosphofructokinase[K00882]; 6-phosphofructokinase 2[K16370],Glycolysis / Gluconeogenesis[map00010]; Pentose phosphate pathway[map00030]; Fructose and mannose metabolism[map00051]; Galactose metabolism[map00052]; Methane metabolism[map00680]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120]; Carbon metabolism[map01200]; Biosynthesis of amino acids[map01230],"ATP + D-Fructose 6-phosphate <=> ADP + D-Fructose 1,6-bisphosphate[R00756]; ATP + D-Fructose 1-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate[R02071]; D-Tagatose 6-phosphate + ATP <=> D-Tagatose 1,6-bisphosphate + ADP[R03236]; CTP + D-Tagatose 6-phosphate <=> CDP + D-Tagatose 1,6-bisphosphate[R03237]; UTP + D-Tagatose 6-phosphate <=> UDP + D-Tagatose 1,6-bisphosphate[R03238]; ITP + D-Tagatose 6-phosphate <=> IDP + D-Tagatose 1,6-bisphosphate[R03239]; ATP + beta-D-Fructose 6-phosphate <=> ADP + beta-D-Fructose 1,6-bisphosphate[R04779]",-,-,-
cluster_52,core,M,"transferase activity, transferring glycosyl groups",-,-,-,-,-,-,-
cluster_53,core,S,PSP1 C-terminal conserved region,-,-,-,-,-,-,-
cluster_54,core,S,TAP-like protein,-,-,-,-,-,-,-
cluster_55,core,H,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)",2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase[2.7.6.3]; Dihydroneopterin aldolase[4.1.2.25],2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase[K00950]; dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase[K13940],Folate biosynthesis[map00790]; Metabolic pathways[map01100],"ATP + 6-(Hydroxymethyl)-7,8-dihydropterin <=> AMP + 6-Hydroxymethyl-7,8-dihydropterin diphosphate[R03503]; 7,8-Dihydroneopterin <=> Glycolaldehyde + 6-(Hydroxymethyl)-7,8-dihydropterin[R03504]",-,-,-
cluster_56,core,F,uridine kinase,Aminodeoxychorismate synthase[2.6.1.85]; Uridine/cytidine kinase[2.7.1.48]; Anthranilate synthase[4.1.3.27],uridine kinase[K00876]; anthranilate synthase component I[K01657]; para-aminobenzoate synthetase[K13950],"Pyrimidine metabolism[map00240]; Phenylalanine, tyrosine and tryptophan biosynthesis[map00400]; Phenazine biosynthesis[map00405]; Folate biosynthesis[map00790]; Drug metabolism - other enzymes[map00983]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230]; Quorum sensing[map02024]; Biofilm formation - Pseudomonas aeruginosa[map02025]",ATP + Cytidine <=> ADP + CMP[R00513]; GTP + Cytidine <=> GDP + CMP[R00517]; ATP + Uridine <=> ADP + UMP[R00964]; GTP + Uridine <=> GDP + UMP[R00968]; Chorismate + Ammonia <=> Anthranilate + Pyruvate + H2O[R00985]; Chorismate + L-Glutamine <=> Anthranilate + Pyruvate + L-Glutamate[R00986]; Chorismate + L-Glutamine <=> 4-Amino-4-deoxychorismate + L-Glutamate[R01716]; 5-Fluorouridine + ATP <=> 5-Fluorouridine monophosphate + ADP[R08232],-,-,-
cluster_57,dispensable,H,uroporphyrinogen-III synthase activity,Uroporphyrinogen-III C-methyltransferase[2.1.1.107]; Hydroxymethylbilane synthase[2.5.1.61]; Uroporphyrinogen-III synthase[4.2.1.75],uroporphyrinogen-III synthase[K01719]; hydroxymethylbilane synthase[K01749]; uroporphyrin-III C-methyltransferase[K02496]; uroporphyrinogen III methyltransferase / synthase[K13542]; uroporphyrinogen III methyltransferase / synthase[K13543],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia[R00084]; Hydroxymethylbilane <=> Uroporphyrinogen III + H2O[R03165]; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III <=> 2 S-Adenosyl-L-homocysteine + Precorrin 2[R03194],-,-,-
cluster_58,core,O,ResB-like family,-,cytochrome c biogenesis protein[K07399],-,-,-,-,-
cluster_59,core,-,-,-,-,-,-,-,-,-
cluster_60,core,G,polysaccharide deacetylase,-,-,-,-,-,-,-
cluster_61,dispensable,-,-,-,-,-,-,-,-,-
cluster_62,core,T,Domain of unknown function (DUF4032),-,lipopolysaccharide core heptose(I) kinase[K02848],Lipopolysaccharide biosynthesis[map00540]; Metabolic pathways[map01100],-,-,-,-
cluster_63,core,H,Joins adenosylcobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin). Also synthesizes adenosylcobalamin 5'-phosphate from adenosylcobinamide-GDP and alpha-ribazole 5'-phosphate,Adenosylcobinamide-GDP ribazoletransferase[2.7.8.26],adenosylcobinamide-GDP ribazoletransferase[K02233],Porphyrin metabolism[map00860]; Metabolic pathways[map01100],"Cobamide coenzyme + GMP <=> Adenosine-GDP-cobinamide + alpha-Ribazole[R05223]; Adenosine-GDP-cobinamide + N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole <=> GMP + Adenosylcobalamin 5'-phosphate[R11174]",-,-,-
cluster_64,core,U,Flp pilus assembly protein CpaB,-,pilus assembly protein CpaB[K02279],-,-,-,-,-
cluster_65,core,H,"Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate","GTP 3',8-cyclase[4.1.99.22]; Cyclic pyranopterin monophosphate synthase[4.6.1.17]","GTP 3',8-cyclase[K03639]; GTP 3',8-cyclase / cyclic pyranopterin monophosphate synthase[K20967]",Folate biosynthesis[map00790]; Metabolic pathways[map01100]; Sulfur relay system[map04122],"GTP + S-Adenosyl-L-methionine + Reduced acceptor <=> (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + 5'-Deoxyadenosine + L-Methionine + Acceptor[R09394]; (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <=> Precursor Z + Diphosphate[R11372]",-,-,-
cluster_66,core,O,"Chaperone involved in the correct folding and assembly of outer membrane proteins. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane-associated steps of protein maturation",Peptidylprolyl isomerase[5.2.1.8],peptidyl-prolyl cis-trans isomerase D[K03770]; foldase protein PrsA[K07533],-,-,-,-,-
cluster_67,core,I,Acyl transferase domain,Beta-ketoacyl-[acyl-carrier-protein] synthase III[2.3.1.180]; [Acyl-carrier-protein] S-malonyltransferase[2.3.1.39],[acyl-carrier-protein] S-malonyltransferase[K00645]; 3-oxoacyl-[acyl-carrier-protein] synthase III[K00648],Fatty acid biosynthesis[map00061]; Prodigiosin biosynthesis[map00333]; Metabolic pathways[map01100]; Fatty acid metabolism[map01212],Malonyl-CoA + Acyl-carrier protein <=> CoA + Malonyl-[acyl-carrier protein][R01626]; Acetyl-CoA + Malonyl-[acyl-carrier protein] <=> Acetoacetyl-[acp] + CoA + CO2[R10707]; Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein][R11671],-,-,-
cluster_68,core,S,Protein of unknown function (DUF3052),-,-,-,-,-,-,-
cluster_69,core,S,Haloacid dehalogenase-like hydrolase,"Alpha,alpha-trehalose phosphorylase[2.4.1.64]; Beta-phosphoglucomutase[5.4.2.6]","beta-phosphoglucomutase[K01838]; alpha,alpha-trehalose phosphorylase[K05342]",Starch and sucrose metabolism[map00500]; Metabolic pathways[map01100],"alpha,alpha-Trehalose + Orthophosphate <=> D-Glucose + beta-D-Glucose 1-phosphate[R02727]; beta-D-Glucose 1-phosphate <=> beta-D-Glucose 6-phosphate[R02728]; beta-D-Glucose 1-phosphate <=> D-Glucose 6-phosphate[R11310]",-,-,-
cluster_70,core,E,"Methionine synthase, vitamin-B12 independent",5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase[2.1.1.14],5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase[K00549],Cysteine and methionine metabolism[map00270]; Selenocompound metabolism[map00450]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Biosynthesis of amino acids[map01230],5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine[R04405]; Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <=> L-Selenomethionine + Tetrahydropteroyltri-L-glutamate[R09365],-,-,-
cluster_71,core,S,PAC2 family,-,SH3 domain protein[K07184],-,-,-,-,-
cluster_72,core,S,hydrolase,-,-,-,-,-,-,-
cluster_73,core,L,Uracil DNA glycosylase superfamily,Uracil-DNA glycosylase[3.2.2.27],uracil-DNA glycosylase[K21929],Base excision repair[map03410],-,-,-,-
cluster_74,core,S,methylamine metabolic process,-,putative oxidoreductase[K15977],-,-,-,-,-
cluster_75,core,S,Protein of unknown function (DUF2505),-,-,-,-,-,-,-
cluster_76,core,S,Protein of unknown function (DUF2993),-,-,-,-,-,-,-
cluster_77,core,H,Belongs to the ribF family,Riboflavin kinase[2.7.1.26]; FAD synthase[2.7.7.2],riboflavin kinase / FMN adenylyltransferase[K11753],Riboflavin metabolism[map00740]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110],ATP + FMN <=> Diphosphate + FAD[R00161]; ATP + Riboflavin <=> ADP + FMN[R00549],-,-,-
cluster_78,core,-,-,-,-,-,-,-,-,-
cluster_79,core,V,"AAA domain, putative AbiEii toxin, Type IV TA system",-,ABC-2 type transport system ATP-binding protein[K01990],-,-,-,-,-
cluster_80,core,M,Glycosyl transferase family 21,-,-,-,-,-,-,-
cluster_81,core,S,Protein of unknown function (DUF3073),-,-,-,-,-,-,-
cluster_82,core,G,Major Facilitator Superfamily,-,-,-,-,-,-,-
cluster_83,core,C,"Elongator protein 3, MiaB family, Radical SAM",-,AdoMet-dependent heme synthase[K22227],-,-,-,-,-
cluster_84,core,O,Colicin V production protein,-,-,-,-,-,-,-
cluster_85,core,S,Protein of unknown function DUF58,-,-,-,-,-,-,-
cluster_86,core,O,FKBP-type peptidyl-prolyl cis-trans isomerase,Peptidylprolyl isomerase[5.2.1.8],peptidylprolyl isomerase[K01802],-,-,-,-,-
cluster_87,core,-,-,-,-,-,-,-,-,-
cluster_88,core,V,(ABC) transporter,-,"ATP-binding cassette, subfamily B, bacterial[K06147]",-,-,-,-,-
cluster_89,dispensable,-,-,-,-,-,-,-,-,-
cluster_90,core,-,-,-,-,-,-,-,-,-
cluster_91,core,V,ATPases associated with a variety of cellular activities,-,putative ABC transport system ATP-binding protein[K02003],-,-,-,-,-
cluster_92,dispensable,C,Radical SAM superfamily,-,uncharacterized protein[K06871],-,-,-,-,-
cluster_93,core,S,"Threonine/Serine exporter, ThrE",-,-,-,-,-,-,-
cluster_94,core,H,Belongs to the ALAD family,Porphobilinogen synthase[4.2.1.24],porphobilinogen synthase[K01698],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O[R00036],-,-,-
cluster_95,core,H,Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps,Hydroxymethylbilane synthase[2.5.1.61],hydroxymethylbilane synthase[K01749],Porphyrin metabolism[map00860]; Metabolic pathways[map01100]; Biosynthesis of secondary metabolites[map01110]; Microbial metabolism in diverse environments[map01120],4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia[R00084],-,-,-
cluster_96,core,H,Precorrin-8X methylmutase,Ferredoxin--nitrite reductase[1.7.7.1]; Precorrin-2 C(20)-methyltransferase[2.1.1.130]; Cobalt-factor II C(20)-methyltransferase[2.1.1.151]; Cobalt-precorrin-8 methylmutase[5.4.99.60]; Precorrin-8X methylmutase[5.4.99.61],ferredoxin-nitrite reductase[K00366]; precorrin-2/cobalt-factor-2 C20-methyltransferase[K03394]; precorrin-8X/cobalt-precorrin-8 methylmutase[K06042],Porphyrin metabolism[map00860]; Nitrogen metabolism[map00910]; Metabolic pathways[map01100]; Microbial metabolism in diverse environments[map01120],Ammonia + 2 H2O + 6 Oxidized ferredoxin <=> Nitrite + 6 Reduced ferredoxin + 6 H+[R00790]; S-Adenosyl-L-methionine + Precorrin 2 <=> S-Adenosyl-L-homocysteine + Precorrin 3A + H+[R03948]; Precorrin 8X <=> Hydrogenobyrinate[R05177]; Cobalt-sirohydrochlorin + S-Adenosyl-L-methionine <=> Cobalt-factor III + S-Adenosyl-L-homocysteine[R05808]; Cobalt-precorrin 8 <=> Cobyrinate[R05814],-,-,-
cluster_97,core,P,"ABC-type Fe3 -hydroxamate transport system, periplasmic component",-,iron complex transport system substrate-binding protein[K02016],ABC transporters[map02010],-,-,-,-
cluster_98,core,S,Protein of unknown function (DUF2530),-,-,-,-,-,-,-
cluster_99,core,C,nitrate reductase,-,nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW[K00373]; selenate/chlorate reductase subunit gamma[K17052],Two-component system[map02020],-,-,-,-
cluster_100,core,F,Permease family,-,uracil permease[K02824]; putative pyrimidine permease RutG[K09016],-,-,-,-,-
cluster_101,core,F,NUDIX domain,8-oxo-dGTP diphosphatase[3.6.1.55],8-oxo-dGTP diphosphatase[K03574],-,-,-,-,-
cluster_102,core,E,Amino acid permease,-,arginine:ornithine antiporter / lysine permease[K03758],-,-,-,-,-
cluster_103,core,-,-,-,-,-,-,-,-,-
cluster_104,core,C,Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and Cu(A) to the binuclear center formed by heme a3 and Cu(B),Cytochrome-c oxidase[1.9.3.1],cytochrome c oxidase subunit II[K02275],Oxidative phosphorylation[map00190]; Metabolic pathways[map01100],Oxygen + 4 Ferrocytochrome c + 4 H+ <=> 4 Ferricytochrome c + 2 H2O[R00081],-,-,-
cluster_105,core,EG,EamA-like transporter family,-,-,-,-,-,-,-
